timestamp,weather_condition,terrain_type,signal_interference_level,temperature,humidity
2024-01-01 00:00:00,Clear,Rural,Moderate,18.57940534575806,61.74472149887734
2024-01-01 00:00:01,Clear,Mountainous,Low,19.21863905349635,48.173976137379825
2024-01-01 00:00:02,Rain,Urban,Low,20.08350941721987,47.44147606067384
2024-01-01 00:00:03,Clear,Urban,Low,19.06656857326698,52.95895357898972
2024-01-01 00:00:04,Clear,Urban,Low,19.087410617259984,54.158731549927474
2024-01-01 00:00:05,Cloudy,Desert,Low,20.511174238075252,55.98870220982305
2024-01-01 00:00:06,Clear,Desert,Low,20.10921460010314,52.42630056821928
2024-01-01 00:00:07,Rain,Forest,Moderate,21.800171603161996,57.75146394705039
2024-01-01 00:00:08,Clear,Forest,Moderate,19.96834963557548,52.46866480412779
2024-01-01 00:00:09,Fog,Desert,Low,20.86099227324561,53.10101209784832
2024-01-01 00:00:10,Clear,Urban,Low,21.154902817545388,49.61318712782225
2024-01-01 00:00:11,Clear,Desert,Low,21.64101834844958,51.45136410083721
2024-01-01 00:00:12,Clear,Mountainous,Moderate,20.80551037865541,58.97358757590999
2024-01-01 00:00:13,Cloudy,Urban,Low,18.412685338948556,50.98003573151111
2024-01-01 00:00:14,Cloudy,Mountainous,Low,20.749700394416504,45.62382248501541
2024-01-01 00:00:15,Fog,Urban,Moderate,21.321619101167226,63.978753292540446
2024-01-01 00:00:16,Clear,Urban,Low,21.277740326589623,46.920577798429356
2024-01-01 00:00:17,Rain,Desert,High,20.243562417255944,61.219989354860445
2024-01-01 00:00:18,Clear,Desert,Low,19.932228601801253,52.42974696634427
2024-01-01 00:00:19,Cloudy,Urban,Moderate,21.069986310551883,46.47633234751046
2024-01-01 00:00:20,Cloudy,Urban,Low,21.65145619636962,48.201554949188
2024-01-01 00:00:21,Clear,Mountainous,Low,21.459724686139644,56.49839363393375
2024-01-01 00:00:22,Clear,Forest,Low,19.10690989417391,56.642933586520876
2024-01-01 00:00:23,Cloudy,Forest,Low,22.53489498269878,49.97707430315399
2024-01-01 00:00:24,Clear,Mountainous,High,20.28889913249256,45.58906807664741
2024-01-01 00:00:25,Clear,Mountainous,Moderate,20.51011378007408,51.70477244216341
2024-01-01 00:00:26,Cloudy,Desert,High,20.225317048639372,47.45730596912479
2024-01-01 00:00:27,Clear,Forest,Low,20.899186222265385,48.71526035462326
2024-01-01 00:00:28,Cloudy,Desert,Moderate,21.128780517163896,45.311655741924646
2024-01-01 00:00:29,Clear,Forest,Low,22.247516823594296,52.50067138091175
2024-01-01 00:00:30,Rain,Mountainous,Low,21.62102299117618,54.1308329463245
